Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
458870,KR7458870003,씨어스,KOSDAQ,기술성장기업부,32100,1,3300,11.46,28850,32150,28750,421802,13201937575,1221717654000,38059740,KSQ
417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,17960,1,640,3.7,17380,18470,16780,1337080,23732505190,1215041755640,67652659,KSQ
099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,110100,1,2100,1.94,110100,117500,107300,160175,18013325150,1205735707800,10951278,KSQ
195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,42250,2,-50,-0.12,42250,43000,41950,145477,6173150450,1196937894750,28329891,KSQ
036540,KR7036540003,SFA반도체,KOSDAQ,중견기업부,7200,2,-170,-2.31,7400,7480,7150,1806779,13122277730,1184114181600,164460303,KSQ
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,41850,2,-1400,-3.24,43050,43900,41300,109276,4615107850,1150203223800,27483948,KSQ
085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,12360,1,170,1.39,12270,12530,12030,302591,3727231535,1149144376560,92972846,KSQ
000210,KR7000210005,DL,KOSPI,,54800,2,-400,-0.72,54700,57800,53500,113655,6291677200,1148382443200,20955884,STK
089860,KR7089860001,롯데렌탈,KOSPI,,31600,1,150,0.48,31800,31800,31200,27938,880371825,1147376660800,36309388,STK
330590,KR7330590001,롯데리츠,KOSPI,,3955,1,180,4.77,3775,4045,3765,641721,2535791307,1142871936220,288968884,STK
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,17140,2,-580,-3.27,17720,18750,16760,1101305,19215042580,1126621592720,65730548,KSQ
032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,26700,2,-1700,-5.99,28150,28850,26450,276889,7541472675,1126518416700,42191701,KSQ
000080,KR7000080002,하이트진로,KOSPI,,16010,2,-10,-0.06,16010,16090,15940,104249,1668599175,1122839112110,70133611,STK
300720,KR7300720000,한일시멘트,KOSPI,,15150,1,450,3.06,14600,15450,14600,181358,2766070550,1114209916350,73545209,STK
491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,44300,1,3950,9.79,41000,44650,40000,229749,9859208950,1107694521300,25004391,KSQ
083450,KR7083450007,GST,KOSDAQ,우량기업부,59800,2,-4500,-7.0,64500,64600,59500,348191,21165873750,1102114000000,18430000,KSQ
003090,KR7003090008,대웅,KOSPI,,18560,1,90,0.49,18480,18740,18350,48150,889875405,1079115148800,58141980,STK
189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,100400,1,2100,2.14,100000,103900,98200,206831,20765385950,1078044698800,10737497,KSQ
328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,14470,2,-30,-0.21,14500,14970,14170,459855,6673950470,1076316742920,74382636,KSQ
388210,KR7388210007,씨엠티엑스,KOSDAQ,벤처기업부,111200,2,-1400,-1.24,115300,117600,111000,62493,7086814450,1073573505600,9654438,KSQ
445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,62000,2,-2800,-4.32,62200,63600,57000,160284,9864864050,1066601810000,17203255,KSQ
009450,KR7009450008,경동나비엔,KOSPI,,72600,1,1400,1.97,70500,73700,70400,65098,4719882650,1057679779200,14568592,STK
295310,KR7295310007,에이치브이엠,KOSDAQ,기술성장기업부,87800,2,-5200,-5.59,95100,95200,85600,280952,25155137300,1055996149800,12027291,KSQ
074600,KR7074600008,원익QnC,KOSDAQ,우량기업부,40000,2,-1100,-2.68,41400,41800,39500,427406,17230069450,1051520000000,26288000,KSQ
003240,KR7003240009,태광산업,KOSPI,,936000,1,1000,0.11,936000,953000,932000,911,855137000,1042142400000,1113400,STK
496320,KR7496320003,본시스템즈,KONEX,일반기업부,1023000,0,0,0.0,0,0,0,0,0,1039340379000,1015973,KNX
090360,KR7090360009,로보스타,KOSDAQ,중견기업부,106500,2,-5700,-5.08,115100,115600,106200,234227,25408724950,1038375000000,9750000,KSQ
057050,KR7057050007,현대홈쇼핑,KOSPI,,85800,1,3900,4.76,81900,85800,80400,19140,1595609750,1029600000000,12000000,STK
